fn,total ops,total mult,dram total,dram limb rd,dram limb wr,dram key rd,"total cycles (slow, worst case)","total cycles (slow, best case)",funits,logq,dnum,cache_size,ewe_energy,dram_energy,sram_area,ewe_area,total_energy,total_area
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,1220406421.0909092,1220406421.0909092,11,46,3,12812288,1.029374164976013,25.157955485696,379113,159668,26.187329650672012,538781
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,1118711181.3333333,1118711181.3333333,12,46,3,12812288,1.029374164976013,25.157955485696,379113,174183,26.187329650672012,553296
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,1032661363.0769233,1032661363.0769233,13,46,3,12812288,1.029374164976013,25.157955485696,379113,188698,26.187329650672012,567811
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,958904376.0,958904376.0,14,46,3,12812288,1.029374164976013,25.157955485696,379113,203213,26.187329650672012,582326
bootstrap,110247673856,49806573568,49136631808.0,19119702016.0,9801400320.0,20215529472.0,894981653.8666668,894981653.8666668,15,46,3,12812288,1.029374164976013,25.157955485696,379113,217728,26.187329650672012,596841
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1604039080.8000002,1604039080.8000002,10,46,4,10551296,1.2210310455396964,32.264633188352,312197,145152,33.4856642338917,457349
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1458224161.8181818,1458224161.8181818,11,46,4,10551296,1.2210310455396964,32.264633188352,312197,159668,33.4856642338917,471865
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1336711729.3333335,1336711729.3333335,12,46,4,10551296,1.2210310455396964,32.264633188352,312197,174183,33.4856642338917,486380
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1233893517.2307694,1233893517.2307694,13,46,4,10551296,1.2210310455396964,32.264633188352,312197,188698,33.4856642338917,500895
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1145763621.142857,1145763621.142857,14,46,4,10551296,1.2210310455396964,32.264633188352,312197,203213,33.4856642338917,515410
bootstrap,131706388480,59066023936,63016861696.0,22686793728.0,12417368064.0,27912699904.0,1069384377.8666668,1069384377.8666668,15,46,4,10551296,1.2210310455396964,32.264633188352,312197,217728,33.4856642338917,529925
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1811232742.4,1811232742.4,10,46,5,8290304,1.3700337848592667,38.514666242048,227762,145152,39.88470002690727,372914
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1646583074.9090908,1646583074.9090908,11,46,5,8290304,1.3700337848592667,38.514666242048,227762,159668,39.88470002690727,387430
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1509375018.6666667,1509375018.6666667,12,46,5,8290304,1.3700337848592667,38.514666242048,227762,174183,39.88470002690727,401945
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1393275894.153846,1393275894.153846,13,46,5,8290304,1.3700337848592667,38.514666242048,227762,188698,39.88470002690727,416460
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1293762358.857143,1293762358.857143,14,46,5,8290304,1.3700337848592667,38.514666242048,227762,203213,39.88470002690727,430975
bootstrap,148712587264,66259910656,75223957504.0,25433899008.0,14673084416.0,35116974080.0,1207517294.9333334,1207517294.9333334,15,46,5,8290304,1.3700337848592667,38.514666242048,227762,217728,39.88470002690727,445490
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1983143460.0,1983143460.0,10,46,6,7536640,1.4914844756932073,44.211353157632,207059,145152,45.70283763332521,352211
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1802866584.3636365,1802866584.3636365,11,46,6,7536640,1.4914844756932073,44.211353157632,207059,159668,45.70283763332521,366727
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1652635854.6666667,1652635854.6666667,12,46,6,7536640,1.4914844756932073,44.211353157632,207059,174183,45.70283763332521,381242
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1525517544.9230769,1525517544.9230769,13,46,6,7536640,1.4914844756932073,44.211353157632,207059,188698,45.70283763332521,395757
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1416558993.7142856,1416558993.7142856,14,46,6,7536640,1.4914844756932073,44.211353157632,207059,203213,45.70283763332521,410272
bootstrap,162830614528,72119746560,86350299136.0,27715239936.0,16711745536.0,41923313664.0,1322128249.3333335,1322128249.3333335,15,46,6,7536640,1.4914844756932073,44.211353157632,207059,217728,45.70283763332521,424787
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,1047274797.6,1047274797.6,10,47,2,16941056,0.8099321373763868,18.154306666496,501276,145152,18.964238803872387,646428
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,952072735.6363636,952072735.6363636,11,47,2,16941056,0.8099321373763868,18.154306666496,501276,159668,18.964238803872387,660944
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,872737684.0,872737684.0,12,47,2,16941056,0.8099321373763868,18.154306666496,501276,174183,18.964238803872387,675459
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,805608024.9230769,805608024.9230769,13,47,2,16941056,0.8099321373763868,18.154306666496,501276,188698,18.964238803872387,689974
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,748068317.1428571,748068317.1428571,14,47,2,16941056,0.8099321373763868,18.154306666496,501276,203213,18.964238803872387,704489
bootstrap,86033301504,39199440896,35457630208.0,15251570688.0,7199948800.0,13006110720.0,698200570.3999999,698200570.3999999,15,47,2,16941056,0.8099321373763868,18.154306666496,501276,217728,18.964238803872387,719004
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,1342440708.8,1342440708.8,10,47,3,13090816,1.029374164976013,25.704867561472,387351,145152,26.734241726448012,532503
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,1220406421.0909092,1220406421.0909092,11,47,3,13090816,1.029374164976013,25.704867561472,387351,159668,26.734241726448012,547019
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,1118711181.3333333,1118711181.3333333,12,47,3,13090816,1.029374164976013,25.704867561472,387351,174183,26.734241726448012,561534
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,1032661363.0769233,1032661363.0769233,13,47,3,13090816,1.029374164976013,25.704867561472,387351,188698,26.734241726448012,576049
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,958904376.0,958904376.0,14,47,3,13090816,1.029374164976013,25.704867561472,387351,203213,26.734241726448012,590564
bootstrap,110247673856,49806573568,50204819456.0,19535347712.0,10014474240.0,20654997504.0,894981653.8666668,894981653.8666668,15,47,3,13090816,1.029374164976013,25.704867561472,387351,217728,26.734241726448012,605079
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1556074920.7999997,1556074920.7999997,10,47,4,10010624,1.1838469813685493,32.19564527616,296211,145152,33.379492257528554,441363
bootstrap,127789563904,57265881088,62882119680.0,22640951296.0,12390072320.0,27851096064.0,1414620380.0,1414620380.0,11,47,4,10010624,1.1838469813685493,32.19564527616,296211,159668,33.379492257528554,455879
