fn,total ops,total mult,dram total,dram limb rd,dram limb wr,dram key rd,"total cycles (slow, worst case)","total cycles (slow, best case)",funits,logq,dnum,cache_size
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1610331001.3333335,1610331001.3333335,12,47,6,7700480
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1486466911.0769231,1486466911.0769231,13,47,6,7700480
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1380297690.857143,1380297690.857143,14,47,6,7700480
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1288284366.6666665,1288284366.6666665,15,47,6,7700480
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,1009317984.8,1009317984.8,10,48,2,16515072
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,917566542.1818182,917566542.1818182,11,48,2,16515072
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,841107006.6666667,841107006.6666667,12,48,2,16515072
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,776410476.6153846,776410476.6153846,13,48,2,16515072
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,720956308.0,720956308.0,14,48,2,16515072
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,672896028.5333333,672896028.5333333,15,48,2,16515072
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,1248026270.4,1248026270.4,10,48,3,12582912
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,1134575113.4545457,1134575113.4545457,11,48,3,12582912
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,1040032482.6666666,1040032482.6666666,12,48,3,12582912
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,960034872.0,960034872.0,13,48,3,12582912
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,891465491.4285715,891465491.4285715,14,48,3,12582912
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,832038694.9333334,832038694.9333334,15,48,3,12582912
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1465939983.1999998,1465939983.1999998,10,48,4,10223616
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1332679527.6363635,1332679527.6363635,11,48,4,10223616
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1221629148.0,1221629148.0,12,48,4,10223616
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1127663442.1538463,1127663442.1538463,13,48,4,10223616
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1047121408.5714285,1047121408.5714285,14,48,4,10223616
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,977318312.7999998,977318312.7999998,15,48,4,10223616
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1660850560.0,1660850560.0,10,48,5,8650752
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1509872000.0,1509872000.0,11,48,5,8650752
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1384056533.3333335,1384056533.3333335,12,48,5,8650752
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1277597292.3076925,1277597292.3076925,13,48,5,8650752
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1186346514.2857141,1186346514.2857141,14,48,5,8650752
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1107262506.6666667,1107262506.6666667,15,48,5,8650752
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1880586173.6,1880586173.6,10,48,6,7077888
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1709632687.6363635,1709632687.6363635,11,48,6,7077888
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1567171449.3333333,1567171449.3333333,12,48,6,7077888
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1446627324.6153846,1446627324.6153846,13,48,6,7077888
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1343303789.142857,1343303789.142857,14,48,6,7077888
bootstrap,154449346560,68327309312,86188228608.0,27676114944.0,16677076992.0,41835036672.0,1253756725.0666666,1253756725.0666666,15,48,6,7077888
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,964076845.6,964076845.6,10,49,2,16859136
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,876438233.8181818,876438233.8181818,11,49,2,16859136
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,803406057.3333333,803406057.3333333,12,49,2,16859136
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,741609600.3076923,741609600.3076923,13,49,2,16859136
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,688641208.5714285,688641208.5714285,14,49,2,16859136
bootstrap,79240101888,36034052096,34708946944.0,14938800128.0,7043907584.0,12726239232.0,642735269.0666666,642735269.0666666,15,49,2,16859136
bootstrap,99495313408,44837502976,48302227456.0,18805964800.0,9628975104.0,19867287552.0,1210772331.2,1210772331.2,10,49,3,12845056
bootstrap,99495313408,44837502976,48302227456.0,18805964800.0,9628975104.0,19867287552.0,1100707896.0,1100707896.0,11,49,3,12845056
bootstrap,99495313408,44837502976,48302227456.0,18805964800.0,9628975104.0,19867287552.0,1008987533.3333334,1008987533.3333334,12,49,3,12845056
bootstrap,99495313408,44837502976,48302227456.0,18805964800.0,9628975104.0,19867287552.0,931377995.6923077,931377995.6923077,13,49,3,12845056
bootstrap,99495313408,44837502976,48302227456.0,18805964800.0,9628975104.0,19867287552.0,864855534.8571429,864855534.8571429,14,49,3,12845056
bootstrap,99495313408,44837502976,48302227456.0,18805964800.0,9628975104.0,19867287552.0,807202735.4666667,807202735.4666667,15,49,3,12845056
bootstrap,116508065792,52094828544,60871114752.0,21928116224.0,11987648512.0,26955350016.0,1417975823.1999998,1417975823.1999998,10,49,4,10436608
bootstrap,116508065792,52094828544,60871114752.0,21928116224.0,11987648512.0,26955350016.0,1289075745.818182,1289075745.818182,11,49,4,10436608
bootstrap,116508065792,52094828544,60871114752.0,21928116224.0,11987648512.0,26955350016.0,1181659014.6666665,1181659014.6666665,12,49,4,10436608
bootstrap,116508065792,52094828544,60871114752.0,21928116224.0,11987648512.0,26955350016.0,1090767934.4615386,1090767934.4615386,13,49,4,10436608
bootstrap,116508065792,52094828544,60871114752.0,21928116224.0,11987648512.0,26955350016.0,1012861294.2857141,1012861294.2857141,14,49,4,10436608
bootstrap,116508065792,52094828544,60871114752.0,21928116224.0,11987648512.0,26955350016.0,945342206.1333334,945342206.1333334,15,49,4,10436608
bootstrap,131997761536,58629029888,72962326528.0,24673746944.0,14233124864.0,34055454720.0,1606663756.8000002,1606663756.8000002,10,49,5,8830976
bootstrap,131997761536,58629029888,72962326528.0,24673746944.0,14233124864.0,34055454720.0,1460611269.8181818,1460611269.8181818,11,49,5,8830976
bootstrap,131997761536,58629029888,72962326528.0,24673746944.0,14233124864.0,34055454720.0,1338900864.0,1338900864.0,12,49,5,8830976
bootstrap,131997761536,58629029888,72962326528.0,24673746944.0,14233124864.0,34055454720.0,1235915136.0,1235915136.0,13,49,5,8830976
bootstrap,131997761536,58629029888,72962326528.0,24673746944.0,14233124864.0,34055454720.0,1147641654.8571427,1147641654.8571427,14,49,5,8830976
bootstrap,131997761536,58629029888,72962326528.0,24673746944.0,14233124864.0,34055454720.0,1071137971.2,1071137971.2,15,49,5,8830976
bootstrap,149768634368,66196602880,85960720384.0,27595997184.0,16635953152.0,41728770048.0,1823329008.8000002,1823329008.8000002,10,49,6,7225344
bootstrap,149768634368,66196602880,85960720384.0,27595997184.0,16635953152.0,41728770048.0,1657580719.6363635,1657580719.6363635,11,49,6,7225344
bootstrap,149768634368,66196602880,85960720384.0,27595997184.0,16635953152.0,41728770048.0,1519457145.3333333,1519457145.3333333,12,49,6,7225344
bootstrap,149768634368,66196602880,85960720384.0,27595997184.0,16635953152.0,41728770048.0,1402583351.6923075,1402583351.6923075,13,49,6,7225344
bootstrap,149768634368,66196602880,85960720384.0,27595997184.0,16635953152.0,41728770048.0,1302405814.2857144,1302405814.2857144,14,49,6,7225344
bootstrap,149768634368,66196602880,85960720384.0,27595997184.0,16635953152.0,41728770048.0,1215585281.8666668,1215585281.8666668,15,49,6,7225344
bootstrap,79240101888,36034052096,35417292800.0,15243673600.0,7187660800.0,12985958400.0,964076845.6,964076845.6,10,50,2,17203200
bootstrap,79240101888,36034052096,35417292800.0,15243673600.0,7187660800.0,12985958400.0,876438233.8181818,876438233.8181818,11,50,2,17203200
bootstrap,79240101888,36034052096,35417292800.0,15243673600.0,7187660800.0,12985958400.0,803406057.3333333,803406057.3333333,12,50,2,17203200
bootstrap,79240101888,36034052096,35417292800.0,15243673600.0,7187660800.0,12985958400.0,741609600.3076923,741609600.3076923,13,50,2,17203200
bootstrap,79240101888,36034052096,35417292800.0,15243673600.0,7187660800.0,12985958400.0,688641208.5714285,688641208.5714285,14,50,2,17203200
bootstrap,79240101888,36034052096,35417292800.0,15243673600.0,7187660800.0,12985958400.0,642735269.0666666,642735269.0666666,15,50,2,17203200
bootstrap,99495313408,44837502976,49287987200.0,19189760000.0,9825484800.0,20272742400.0,1210772331.2,1210772331.2,10,50,3,13107200
bootstrap,99495313408,44837502976,49287987200.0,19189760000.0,9825484800.0,20272742400.0,1100707896.0,1100707896.0,11,50,3,13107200
bootstrap,99495313408,44837502976,49287987200.0,19189760000.0,9825484800.0,20272742400.0,1008987533.3333334,1008987533.3333334,12,50,3,13107200
bootstrap,99495313408,44837502976,49287987200.0,19189760000.0,9825484800.0,20272742400.0,931377995.6923077,931377995.6923077,13,50,3,13107200
bootstrap,99495313408,44837502976,49287987200.0,19189760000.0,9825484800.0,20272742400.0,864855534.8571429,864855534.8571429,14,50,3,13107200
bootstrap,99495313408,44837502976,49287987200.0,19189760000.0,9825484800.0,20272742400.0,807202735.4666667,807202735.4666667,15,50,3,13107200
bootstrap,116508065792,52094828544,62113382400.0,22375628800.0,12232294400.0,27505459200.0,1417975823.1999998,1417975823.1999998,10,50,4,10649600
bootstrap,116508065792,52094828544,62113382400.0,22375628800.0,12232294400.0,27505459200.0,1289075745.818182,1289075745.818182,11,50,4,10649600
bootstrap,116508065792,52094828544,62113382400.0,22375628800.0,12232294400.0,27505459200.0,1181659014.6666665,1181659014.6666665,12,50,4,10649600
bootstrap,116508065792,52094828544,62113382400.0,22375628800.0,12232294400.0,27505459200.0,1090767934.4615386,1090767934.4615386,13,50,4,10649600
bootstrap,116508065792,52094828544,62113382400.0,22375628800.0,12232294400.0,27505459200.0,1012861294.2857141,1012861294.2857141,14,50,4,10649600
bootstrap,116508065792,52094828544,62113382400.0,22375628800.0,12232294400.0,27505459200.0,945342206.1333334,945342206.1333334,15,50,4,10649600
bootstrap,131997761536,58629029888,74451353600.0,25177292800.0,14523596800.0,34750464000.0,1606663756.8000002,1606663756.8000002,10,50,5,9011200
bootstrap,131997761536,58629029888,74451353600.0,25177292800.0,14523596800.0,34750464000.0,1460611269.8181818,1460611269.8181818,11,50,5,9011200
bootstrap,131997761536,58629029888,74451353600.0,25177292800.0,14523596800.0,34750464000.0,1338900864.0,1338900864.0,12,50,5,9011200
bootstrap,131997761536,58629029888,74451353600.0,25177292800.0,14523596800.0,34750464000.0,1235915136.0,1235915136.0,13,50,5,9011200
bootstrap,131997761536,58629029888,74451353600.0,25177292800.0,14523596800.0,34750464000.0,1147641654.8571427,1147641654.8571427,14,50,5,9011200
bootstrap,131997761536,58629029888,74451353600.0,25177292800.0,14523596800.0,34750464000.0,1071137971.2,1071137971.2,15,50,5,9011200
bootstrap,146342543360,64670924800,85748940800.0,27538227200.0,16578969600.0,41631744000.0,1781426928.8000002,1781426928.8000002,10,50,6,7372800
bootstrap,146342543360,64670924800,85748940800.0,27538227200.0,16578969600.0,41631744000.0,1619487919.6363635,1619487919.6363635,11,50,6,7372800
bootstrap,146342543360,64670924800,85748940800.0,27538227200.0,16578969600.0,41631744000.0,1484538745.3333333,1484538745.3333333,12,50,6,7372800
bootstrap,146342543360,64670924800,85748940800.0,27538227200.0,16578969600.0,41631744000.0,1370350982.4615383,1370350982.4615383,13,50,6,7372800
bootstrap,146342543360,64670924800,85748940800.0,27538227200.0,16578969600.0,41631744000.0,1272475757.142857,1272475757.142857,14,50,6,7372800
bootstrap,146342543360,64670924800,85748940800.0,27538227200.0,16578969600.0,41631744000.0,1187650561.8666668,1187650561.8666668,15,50,6,7372800
